SAMPID	CD276_tpm	Histology	Dataset
GTEX-117XS-2226-SM-5GIE1	61.3194595499127	Colon	Human Normal (GTEx)
GTEX-117XS-2526-SM-5H11G	12.8674326684361	Muscle	Human Normal (GTEx)
GTEX-117XS-2726-SM-5N9BL	51.5781299131418	Skin	Human Normal (GTEx)
GTEX-117XS-2926-SM-5N9BX	26.5592445870114	Pituitary	Human Normal (GTEx)
GTEX-117XS-3026-SM-5N9CA	25.6883628600935	Brain	Human Normal (GTEx)
GTEX-117XS-3126-SM-5GIDP	11.9117905525194	Brain	Human Normal (GTEx)
GTEX-117YW-0005-SM-5NQ8Z	0.0788006490037681	Blood	Human Normal (GTEx)
GTEX-117YW-0008-SM-5QGRD	110.58226385516	Skin	Human Normal (GTEx)
GTEX-117YW-0126-SM-5EGGN	29.9371853190902	Thyroid	Human Normal (GTEx)
GTEX-117YW-0226-SM-5N9CM	102.527460823918	Blood Vessel	Human Normal (GTEx)
GTEX-117YW-0326-SM-5N9CY	23.4376251582859	Heart	Human Normal (GTEx)
GTEX-117YW-0426-SM-5GZZZ	32.5094922509138	Heart	Human Normal (GTEx)
GTEX-117YW-0526-SM-5H11C	53.9609442793189	Lung	Human Normal (GTEx)
GTEX-117YW-0826-SM-5H11O	61.1160505140776	Adipose Tissue	Human Normal (GTEx)
GTEX-117YW-1426-SM-5EGGO	60.0096605599321	Prostate	Human Normal (GTEx)
GTEX-117YW-1526-SM-5EGGP	11.1050112035722	Testis	Human Normal (GTEx)
GTEX-117YW-1826-SM-5PNY5	58.8591401389217	Colon	Human Normal (GTEx)
GTEX-117YW-1926-SM-5H121	38.6160932863811	Esophagus	Human Normal (GTEx)
GTEX-117YW-2026-SM-5N9BH	57.0778050620966	Esophagus	Human Normal (GTEx)
GTEX-117YW-2226-SM-5N9DB	44.4685149812607	Stomach	Human Normal (GTEx)
GTEX-117YW-2426-SM-5Q5AE	12.611805485235	Muscle	Human Normal (GTEx)
GTEX-117YW-2626-SM-5GZZH	106.833723737925	Skin	Human Normal (GTEx)
GTEX-117YW-2726-SM-5GZZT	71.0861341216292	Blood Vessel	Human Normal (GTEx)
GTEX-117YW-2826-SM-5H116	25.9212770292228	Pituitary	Human Normal (GTEx)
