SAMPID	CD276_tpm	Histology
TARGET-40-PAPKWD-01A-01R	166.609999999947	Osteosarcoma
TARGET-40-PAPXGT-01A-01R	59.9199999998916	Osteosarcoma
TARGET-40-PARBGW-01A-01R	164.469999999468	Osteosarcoma
TARGET-40-PARDAX-01A-01R	252.529999999557	Osteosarcoma
TARGET-40-PARFTG-01A-01R	169.150000000278	Osteosarcoma
TARGET-40-PARGTM-01A-01R	250.240000000798	Osteosarcoma
TARGET-40-PARJXU-01A-01R	269.269999999112	Osteosarcoma
TARGET-40-PARKAF-01A-01R	238.429999999717	Osteosarcoma
TARGET-40-PASEBY-01A-01R	341.019999999968	Osteosarcoma
TARGET-40-PASEFS-01A-01R	68.499999999831	Osteosarcoma
TARGET-40-PASFCV-01A-01R	246.500000000519	Osteosarcoma
TARGET-40-PASNZV-01A-01R	247.019999999999	Osteosarcoma
TARGET-40-PASRNE-01A-01R	289.009999999581	Osteosarcoma
TARGET-40-PASSLM-01A-01R	105.28999999965	Osteosarcoma
TARGET-40-PASUUH-01A-01R	161.529999999648	Osteosarcoma
TARGET-40-PASYUK-01A-01R	77.0699999999237	Osteosarcoma
TARGET-40-PATAWV-01A-01R	154.479999999518	Osteosarcoma
TARGET-40-PATEEM-01A-01R	150.119999999618	Osteosarcoma
TARGET-40-PATJVI-01A-01R	259.429999999847	Osteosarcoma
TARGET-40-PATKSS-01A-01R	113.970000000162	Osteosarcoma
TARGET-40-PATMIF-01A-01R	159.509999999591	Osteosarcoma
TARGET-40-PATMPU-01A-01R	179.019999999526	Osteosarcoma
TARGET-40-PATMXR-01A-01R	331.449999999435	Osteosarcoma
TARGET-40-PATPBS-01A-01R	173.379999999611	Osteosarcoma
TARGET-40-PATUXZ-01A-01R	264.979999999688	Osteosarcoma
TARGET-40-PAUBIT-01A-01R	184.079999999927	Osteosarcoma
TARGET-40-PAUTWB-01A-01R	274.960000000436	Osteosarcoma
TARGET-40-PAUTYB-01A-01R	123.369999999603	Osteosarcoma
TARGET-40-PAUUML-01A-01R	58.8700000000798	Osteosarcoma
TARGET-40-PAVALD-01A-01R	173.989999999976	Osteosarcoma
TARGET-40-PAVCLP-01A-01R	158.930000000414	Osteosarcoma
TARGET-50-CAAAAC-01	182.151217284649	Wilms tumor
TARGET-50-CAAAAH-01	29.0195952959475	Wilms tumor
TARGET-50-CAAAAJ-01	135.729478891284	Wilms tumor
TARGET-50-CAAAAL-01	409.834107041759	Wilms tumor
TARGET-50-CAAAAM-01	57.5792489375795	Wilms tumor
TARGET-50-CAAAAO-01	196.637355318708	Wilms tumor
TARGET-50-CAAAAR-01	158.253287893091	Wilms tumor
TARGET-50-CAAAAS-01	284.956095600446	Wilms tumor
TARGET-50-PADXAY-01	111.669279594792	Wilms tumor
TARGET-50-PADZUB-01	184.655560897375	Wilms tumor
TARGET-50-PAEAFB-01	174.912884682792	Wilms tumor
TARGET-50-PAEBXA-01	148.517712509049	Wilms tumor
TARGET-50-PAECJB-01	246.013614622227	Wilms tumor
TARGET-50-PAJLIP-01	508.110369564132	Wilms tumor
TARGET-50-PAJLKC-01	151.954068268717	Wilms tumor
TARGET-50-PAJLKR-01	165.156733313219	Wilms tumor
TARGET-50-PAJLLF-01	67.1902743134929	Wilms tumor
TARGET-50-PAJLNJ-01	132.274425165032	Wilms tumor
TARGET-50-PAJLPX-01	140.847572479113	Wilms tumor
TARGET-50-PAJLSP-01	116.492145020128	Wilms tumor
TARGET-50-PAJLTH-01	187.766150761069	Wilms tumor
TARGET-50-PAJLTI-01	151.14522522859	Wilms tumor
TARGET-50-PAJLUJ-06	138.946975317817	Wilms tumor
TARGET-50-PAJLWT-01	87.4196283677159	Wilms tumor
TARGET-50-PAJMEL-01	169.647053348462	Wilms tumor
TARGET-50-PAJMEN-01	110.836426122251	Wilms tumor
TARGET-50-PAJMEP-01	219.04668111187	Wilms tumor
TARGET-50-PAJMFU-01	299.247438002894	Wilms tumor
TARGET-50-PAJMFY-01	278.550578988696	Wilms tumor
TARGET-50-PAJMIZ-01	72.2277847751152	Wilms tumor
TARGET-50-PAJMJT-01	200.964048572572	Wilms tumor
TARGET-50-PAJMKI-01	274.868097298088	Wilms tumor
TARGET-50-PAJMKJ-01	97.3687493205378	Wilms tumor
TARGET-50-PAJMLI-01	155.502244677418	Wilms tumor
TARGET-50-PAJMLZ-01	187.012793325078	Wilms tumor
TARGET-50-PAJMMY-01	250.956730396186	Wilms tumor
TARGET-50-PAJMRL-01	283.105294293344	Wilms tumor
TARGET-50-PAJMSE-01	299.912069955502	Wilms tumor
TARGET-50-PAJMUF-01	213.574186398974	Wilms tumor
TARGET-50-PAJMVC-01	19.980697475709	Wilms tumor
TARGET-50-PAJMVU-01	130.39003916635	Wilms tumor
TARGET-50-PAJMXF-01	196.787327946676	Wilms tumor
TARGET-50-PAJNAA-01	151.806672955509	Wilms tumor
TARGET-50-PAJNAV-01	23.6397831164564	Wilms tumor
TARGET-50-PAJNBN-01	343.078917625875	Wilms tumor
TARGET-50-PAJNCC-01	139.081873736428	Wilms tumor
TARGET-50-PAJNCJ-01	209.730656889618	Wilms tumor
TARGET-50-PAJNCZ-01	222.058174052645	Wilms tumor
TARGET-50-PAJNDU-01	26.9899700015438	Wilms tumor
TARGET-50-PAJNEC-01	35.1210272525582	Wilms tumor
TARGET-50-PAJNGH-01	289.394912391304	Wilms tumor
TARGET-50-PAJNGH-02	257.297840103588	Wilms tumor
TARGET-50-PAJNJJ-01	324.684884699157	Wilms tumor
TARGET-50-PAJNLT-01	193.04499112046	Wilms tumor
TARGET-50-PAJNNC-01	152.091030119982	Wilms tumor
TARGET-50-PAJNNR-01	104.502036206837	Wilms tumor
TARGET-50-PAJNRH-01	64.3995801483726	Wilms tumor
TARGET-50-PAJNRL-01	158.143631965582	Wilms tumor
TARGET-50-PAJNSL-01	359.013956842612	Wilms tumor
TARGET-50-PAJNTJ-01	214.955467791783	Wilms tumor
TARGET-50-PAJNTJ-02	121.102880957291	Wilms tumor
TARGET-50-PAJNUP-01	98.960897542046	Wilms tumor
TARGET-50-PAJNUS-01	178.563391181104	Wilms tumor
TARGET-50-PAJNVE-01	621.968433171131	Wilms tumor
TARGET-50-PAJNVX-01	197.224301038908	Wilms tumor
TARGET-50-PAJNYT-01	153.563526176808	Wilms tumor
TARGET-50-PAJNZI-01	317.166412339251	Wilms tumor
TARGET-50-PAJNZK-01	317.100378817209	Wilms tumor
TARGET-50-PAJNZS-01	332.243095774202	Wilms tumor
TARGET-50-PAJNZU-01	283.950352041336	Wilms tumor
TARGET-50-PAJPAR-01	161.321147303137	Wilms tumor
TARGET-50-PAJPAU-01	249.638181068963	Wilms tumor
TARGET-50-PAJPCM-01	198.926684902478	Wilms tumor
TARGET-50-PAJPDC-01	91.6832308606061	Wilms tumor
TARGET-50-PAJPDC-02	114.586146758863	Wilms tumor
TARGET-50-PAJPDN-01	68.4311323599792	Wilms tumor
TARGET-50-PAJPEW-01	98.9677698707478	Wilms tumor
TARGET-50-PAJPGY-01	69.4008425608213	Wilms tumor
TARGET-50-PAJPHA-01	106.409856195729	Wilms tumor
TARGET-50-PAKECR-01	79.3514059089	Wilms tumor
TARGET-50-PAKFME-01	183.278379690309	Wilms tumor
TARGET-50-PAKFYV-01	360.735101170072	Wilms tumor
TARGET-50-PAKGED-01	8.04024006397621	Wilms tumor
TARGET-50-PAKGMU-01	79.3074119929707	Wilms tumor
TARGET-50-PAKGZX-01	155.642435495496	Wilms tumor
TARGET-50-PAKJGM-01	76.8292157092802	Wilms tumor
TARGET-50-PAKKNS-01	265.744326178586	Wilms tumor
TARGET-50-PAKKSE-01	145.098718470575	Wilms tumor
TARGET-50-PAKMSV-01	85.5315272716499	Wilms tumor
TARGET-50-PAKMUB-01	145.92576654217	Wilms tumor
TARGET-50-PAKNAL-01	129.893914863077	Wilms tumor
TARGET-50-PAKNRX-01	108.179837807312	Wilms tumor
TARGET-50-PAKNTW-01	81.5879481786253	Wilms tumor
TARGET-50-PAKNXS-01	163.459819356554	Wilms tumor
TARGET-50-PAKPDF-01	252.544713212895	Wilms tumor
TARGET-50-PAKRCC-01	571.574548635594	Wilms tumor
TARGET-50-PAKRVH-01	190.360868842843	Wilms tumor
TARGET-50-PAKRZW-01	49.2609735299908	Wilms tumor
TARGET-50-PAKSCC-01	108.149854510642	Wilms tumor
TARGET-50-PAKSDG-01	290.137985344468	Wilms tumor
TARGET-50-PAKUIT-01	278.318944355887	Wilms tumor
TARGET-50-PAKULH-01	139.991033955212	Wilms tumor
TARGET-50-PAKVET-01	219.685224998375	Wilms tumor
TARGET-50-PAKWPM-01	171.87222452235	Wilms tumor
TARGET-50-PAKXWB-01	134.848023193322	Wilms tumor
TARGET-50-PAKXXF-01	103.773021382213	Wilms tumor
TARGET-50-PAKYFC-01	190.862895291666	Wilms tumor
TARGET-50-PAKYLT-01	167.601585028812	Wilms tumor
TARGET-50-PAKZER-01	84.7114361770557	Wilms tumor
TARGET-50-PAKZFK-01	118.298592223951	Wilms tumor
TARGET-50-PAKZHF-01	117.481409865767	Wilms tumor
TARGET-50-PALDTE-01	246.525798619274	Wilms tumor
TARGET-50-PALDWP-01	244.432869772614	Wilms tumor
TARGET-50-PALERC-01	320.725642735073	Wilms tumor
